Provinsi,Fakor Perceraian - Zina,Fakor Perceraian - Mabuk,Fakor Perceraian - Madat,Fakor Perceraian - Judi,Fakor Perceraian - Meninggalkan Salah satu Pihak,Fakor Perceraian - Dihukum Penjara,Fakor Perceraian - Poligami,Fakor Perceraian - Kekerasan Dalam Rumah Tangga,Fakor Perceraian - Cacat Badan,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus,Fakor Perceraian - Kawin Paksa,Fakor Perceraian - Murtad,Fakor Perceraian - Ekonomi,Fakor Perceraian - Lain-lain,Fakor Perceraian - Jumlah
Aceh,1,15,19,10,968,44,17,107,8,3426,1,2,485,92,5195
Sumatera Utara,209,198,508,194,2551,109,7,159,4,7235,10,21,1623,336,13164
Sumatera Barat,12,9,7,44,1428,35,18,147,20,4868,15,5,735,,7343
Riau,24,62,17,58,1676,50,16,208,32,6926,21,18,1516,,10624
Jambi,4,34,8,29,711,29,9,102,3,2874,1,3,462,,4269
Sumatera Selatan,8,81,15,33,641,77,31,161,3,5678,3,7,688,,7426
Bengkulu,,5,1,5,419,10,6,10,2,2180,3,4,149,,2794
Lampung,53,175,23,273,1734,24,34,253,155,4297,3,13,2870,,9907
Kepulauan Bangka Belitung,3,15,3,8,371,15,17,72,1,1665,1,4,115,,2290
Kepulauan Riau,,,,,,,,,,,,,,,
DKI Jakarta,30,84,10,27,2384,18,38,820,7,5408,2,34,3118,,11980
Jawa Barat,66,430,68,241,12341,64,258,1459,16,29208,41,78,36701,4058,85029
Jawa Tengah,123,155,102,129,19765,61,55,402,32,28527,266,170,21908,16,71711
DI Yogyakarta,4,21,,8,1274,6,2,76,8,3446,6,12,756,,5619
Jawa Timur,811,483,47,355,12595,99,157,1455,343,38109,382,199,32105,418,87558
Banten,3,235,129,142,1913,74,117,918,10,6204,14,50,2148,,11957
Bali,,,,,,,,,,,,,,,
Nusa Tenggara Barat,6,123,4,115,1604,38,64,437,5,4082,21,16,728,20,7263
Nusa Tenggara Timur,2,8,,6,186,1,1,3,1,196,17,4,12,,437
Kalimantan Barat,16,23,3,39,724,16,29,62,5,3163,4,16,445,2,4547
Kalimantan Tengah,4,66,12,14,548,16,16,59,7,1752,5,52,210,3,2764
Kalimantan Selatan,17,228,74,30,880,69,71,80,8,4890,32,9,980,7,7375
Kalimantan Timur,11,49,59,39,1615,87,72,307,4,4028,11,31,1298,16,7627
Kalimantan Utara,,,,,,,,,,,,,,,
Sulawesi Utara,9,17,2,1,180,3,3,96,,1028,,45,49,13,1446
Sulawesi Tengah,5,155,18,28,510,10,25,128,3,1706,10,18,220,125,2961
Sulawesi Selatan,15,517,33,272,3062,95,114,879,81,7638,65,26,1163,,13960
Sulawesi Tenggara,2,133,5,35,456,5,11,222,5,1441,1,2,283,,2601
Gorontalo,8,90,1,6,373,6,8,48,,1310,1,2,61,,1914
Sulawesi Barat,,,,,,,,,,,,,,,
Maluku,4,14,,11,72,,7,22,1,327,,4,6,,468
Maluku Utara,3,25,2,8,322,1,5,53,,614,3,1,15,,1052
Papua Barat,,,,,,,,,,,,,,,
Papua,17,18,1,3,320,2,3,19,2,859,2,23,60,,1329
Indonesia,1470,3468,1171,2163,71623,1064,1211,8764,766,183085,941,869,110909,5106,392610
