Provinsi,Zina,Mabuk,Madat,Judi,Tinggalkan_Pihak,Penjara,Poligami,KDRT,Cacat,Pertengkaran,Kawin_Paksa,Murtad,Ekonomi
Aceh,1.0,15.0,19.0,10.0,968.0,44.0,17.0,107.0,8.0,3426.0,1.0,2.0,485.0
Sumatera Utara,209.0,198.0,508.0,194.0,2551.0,109.0,7.0,159.0,4.0,7235.0,10.0,21.0,1623.0
Sumatera Barat,12.0,9.0,7.0,44.0,1428.0,35.0,18.0,147.0,20.0,4868.0,15.0,5.0,735.0
Riau,24.0,62.0,17.0,58.0,1676.0,50.0,16.0,208.0,32.0,6926.0,21.0,18.0,1516.0
Jambi,4.0,34.0,8.0,29.0,711.0,29.0,9.0,102.0,3.0,2874.0,1.0,3.0,462.0
Sumatera Selatan,8.0,81.0,15.0,33.0,641.0,77.0,31.0,161.0,3.0,5678.0,3.0,7.0,688.0
Bengkulu,101.38,5.0,1.0,5.0,419.0,10.0,6.0,10.0,2.0,2180.0,3.0,4.0,149.0
Lampung,53.0,175.0,23.0,273.0,1734.0,24.0,34.0,253.0,155.0,4297.0,3.0,13.0,2870.0
Kepulauan Bangka Belitung,3.0,15.0,3.0,8.0,371.0,15.0,17.0,72.0,1.0,1665.0,1.0,4.0,115.0
Kepulauan Riau,101.38,231.2,86.74,144.2,4774.87,73.38,80.73,584.27,56.74,12205.67,67.21,57.93,7393.93
DKI Jakarta,30.0,84.0,10.0,27.0,2384.0,18.0,38.0,820.0,7.0,5408.0,2.0,34.0,3118.0
Jawa Barat,66.0,430.0,68.0,241.0,12341.0,64.0,258.0,1459.0,16.0,29208.0,41.0,78.0,36701.0
Jawa Tengah,123.0,155.0,102.0,129.0,19765.0,61.0,55.0,402.0,32.0,28527.0,266.0,170.0,21908.0
DI Yogyakarta,4.0,21.0,86.74,8.0,1274.0,6.0,2.0,76.0,8.0,3446.0,6.0,12.0,756.0
Jawa Timur,811.0,483.0,47.0,355.0,12595.0,99.0,157.0,1455.0,343.0,38109.0,382.0,199.0,32105.0
Banten,3.0,235.0,129.0,142.0,1913.0,74.0,117.0,918.0,10.0,6204.0,14.0,50.0,2148.0
Bali,101.38,231.2,86.74,144.2,4774.87,73.38,80.73,584.27,56.74,12205.67,67.21,57.93,7393.93
Nusa Tenggara Barat,6.0,123.0,4.0,115.0,1604.0,38.0,64.0,437.0,5.0,4082.0,21.0,16.0,728.0
Nusa Tenggara Timur,2.0,8.0,86.74,6.0,186.0,1.0,1.0,3.0,1.0,196.0,17.0,4.0,12.0
Kalimantan Barat,16.0,23.0,3.0,39.0,724.0,16.0,29.0,62.0,5.0,3163.0,4.0,16.0,445.0
Kalimantan Tengah,4.0,66.0,12.0,14.0,548.0,16.0,16.0,59.0,7.0,1752.0,5.0,52.0,210.0
Kalimantan Selatan,17.0,228.0,74.0,30.0,880.0,69.0,71.0,80.0,8.0,4890.0,32.0,9.0,980.0
Kalimantan Timur,11.0,49.0,59.0,39.0,1615.0,87.0,72.0,307.0,4.0,4028.0,11.0,31.0,1298.0
Kalimantan Utara,101.38,231.2,86.74,144.2,4774.87,73.38,80.73,584.27,56.74,12205.67,67.21,57.93,7393.93
Sulawesi Utara,9.0,17.0,2.0,1.0,180.0,3.0,3.0,96.0,56.74,1028.0,67.21,45.0,49.0
Sulawesi Tengah,5.0,155.0,18.0,28.0,510.0,10.0,25.0,128.0,3.0,1706.0,10.0,18.0,220.0
Sulawesi Selatan,15.0,517.0,33.0,272.0,3062.0,95.0,114.0,879.0,81.0,7638.0,65.0,26.0,1163.0
Sulawesi Tenggara,2.0,133.0,5.0,35.0,456.0,5.0,11.0,222.0,5.0,1441.0,1.0,2.0,283.0
Gorontalo,8.0,90.0,1.0,6.0,373.0,6.0,8.0,48.0,56.74,1310.0,1.0,2.0,61.0
Sulawesi Barat,101.38,231.2,86.74,144.2,4774.87,73.38,80.73,584.27,56.74,12205.67,67.21,57.93,7393.93
Maluku,4.0,14.0,86.74,11.0,72.0,73.38,7.0,22.0,1.0,327.0,67.21,4.0,6.0
Maluku Utara,3.0,25.0,2.0,8.0,322.0,1.0,5.0,53.0,56.74,614.0,3.0,1.0,15.0
Papua Barat,101.38,231.2,86.74,144.2,4774.87,73.38,80.73,584.27,56.74,12205.67,67.21,57.93,7393.93
Papua,17.0,18.0,1.0,3.0,320.0,2.0,3.0,19.0,2.0,859.0,2.0,23.0,60.0
Indonesia,1470.0,3468.0,1171.0,2163.0,71623.0,1064.0,1211.0,8764.0,766.0,183085.0,941.0,869.0,110909.0
Aceh,2.0,9.0,5.0,4.0,1123.0,58.0,27.0,107.0,15.0,4221.0,2.0,5.0,416.0
Sumatera Utara,106.0,82.0,218.0,110.0,2177.0,96.0,6.0,110.0,8.0,11670.0,54.38,42.0,701.0
Sumatera Barat,4.0,12.0,13.0,33.0,1518.0,42.0,24.0,133.0,5.0,6396.0,9.0,6.0,459.0
Riau,1.0,17.0,11.0,33.0,1238.0,64.0,6.0,115.0,4.0,7608.0,6.0,10.0,635.0
Jambi,3.0,12.0,13.0,17.0,743.0,26.0,11.0,69.0,2.0,3254.0,3.0,6.0,489.0
Sumatera Selatan,7.0,122.0,79.0,224.0,864.0,72.0,43.0,345.0,4.0,6729.0,3.0,16.0,1121.0
Bengkulu,5.0,6.0,2.0,5.0,432.0,11.0,7.0,23.0,1.0,2664.0,2.0,4.0,160.0
Lampung,106.0,151.0,53.0,220.0,1515.0,22.0,24.0,467.0,21.0,6055.0,10.0,28.0,3856.0
Kepulauan Bangka Belitung,6.0,22.0,2.0,8.0,242.0,28.0,13.0,27.0,1.0,1961.0,54.38,9.0,154.0
Kepulauan Riau,22.0,34.0,5.0,34.0,522.0,40.0,6.0,39.0,1.0,2574.0,1.0,11.0,208.0
DKI Jakarta,12.0,42.0,19.0,24.0,2116.0,46.0,36.0,328.0,4.0,9422.0,3.0,59.0,3214.0
Jawa Barat,30.0,226.0,19.0,239.0,5084.0,178.0,221.0,748.0,36.0,34430.0,43.0,173.0,39988.0
Jawa Tengah,109.0,95.0,131.0,115.0,16743.0,2334.0,55.0,486.0,104.0,37146.0,275.0,170.0,24057.0
DI Yogyakarta,12.0,10.0,13.0,7.0,1266.0,8.0,6.0,54.0,27.14,4221.0,2.0,13.0,627.0
Jawa Timur,417.0,329.0,78.0,241.0,11093.0,201.0,106.0,1593.0,96.0,43669.0,359.0,238.0,35835.0
Banten,5.0,135.0,28.0,79.0,1968.0,63.0,278.0,611.0,8.0,9603.0,8.0,52.0,2649.0
Bali,2.0,6.0,62.36,125.61,232.0,2.0,1.0,14.0,1.0,869.0,1.0,9.0,74.0
Nusa Tenggara Barat,5.0,131.0,28.0,52.0,1387.0,76.0,83.0,305.0,6.0,4013.0,10.0,19.0,571.0
Nusa Tenggara Timur,58.88,6.0,62.36,125.61,169.0,15.0,1.0,7.0,27.14,259.0,54.38,6.0,7.0
Kalimantan Barat,7.0,41.0,2.0,30.0,561.0,38.0,10.0,57.0,3.0,3394.0,5.0,18.0,841.0
Kalimantan Tengah,3.0,74.0,5.0,15.0,633.0,29.0,27.0,60.0,2.0,2365.0,5.0,43.0,239.0
Kalimantan Selatan,1.0,151.0,123.0,26.0,924.0,99.0,74.0,102.0,18.0,5275.0,33.0,19.0,976.0
Kalimantan Timur,22.0,30.0,68.0,38.0,1399.0,103.0,86.0,233.0,7.0,4296.0,10.0,40.0,1345.0
Kalimantan Utara,58.88,5.0,7.0,125.61,239.0,21.0,5.0,7.0,27.14,1036.0,1.0,10.0,29.0
Sulawesi Utara,4.0,95.0,1.0,7.0,257.0,11.0,2.0,46.0,1.0,1255.0,12.0,65.0,33.0
Sulawesi Tengah,2.0,68.0,28.0,25.0,616.0,11.0,22.0,236.0,27.14,2432.0,3.0,30.0,115.0
Sulawesi Selatan,14.0,485.0,14.0,305.0,2962.0,41.0,92.0,919.0,26.0,8744.0,47.0,30.0,1318.0
Sulawesi Tenggara,1.0,118.0,31.0,21.0,711.0,14.0,27.0,286.0,2.0,2104.0,4.0,9.0,307.0
Gorontalo,4.0,169.0,20.0,12.0,489.0,2.0,9.0,79.0,27.14,1379.0,4.0,11.0,94.0
Sulawesi Barat,2.0,9.0,3.0,2.0,370.0,5.0,7.0,49.0,1.0,786.0,1.0,7.0,34.0
